date,symbol_id,symbol_name,open,high,low,close
2025-11-13,8,GOOG,282.98,283.51,278.00,279.12
2025-11-12,8,GOOG,292.08,292.36,284.38,287.43
2025-11-11,8,GOOG,288.20,292.34,287.88,291.74
2025-11-10,8,GOOG,285.26,291.46,283.54,290.59
2025-11-07,8,GOOG,284.21,284.50,275.74,279.70
2025-11-06,8,GOOG,285.74,288.81,281.62,285.34
2025-11-05,8,GOOG,279.38,286.70,277.88,284.75
2025-11-04,8,GOOG,277.06,281.83,276.86,278.06
2025-11-03,8,GOOG,282.42,285.94,280.37,284.12
2025-10-31,8,GOOG,283.20,286.29,277.52,281.82
2025-10-30,8,GOOG,291.72,291.93,280.45,281.90
2025-10-29,8,GOOG,268.61,275.97,268.43,275.17
2025-10-28,8,GOOG,270.20,271.38,267.17,268.43
2025-10-27,8,GOOG,265.36,270.80,264.94,269.93
2025-10-24,8,GOOG,257.30,262.51,256.10,260.51
2025-10-23,8,GOOG,253.70,255.86,252.77,253.73
2025-10-22,8,GOOG,255.01,257.18,250.45,252.53
2025-10-21,8,GOOG,255.25,255.38,244.67,251.34
2025-10-20,8,GOOG,255.23,257.88,254.60,257.02
2025-10-17,8,GOOG,251.35,254.88,248.59,253.79
2025-10-16,8,GOOG,252.46,257.58,250.67,251.88
2025-10-15,8,GOOG,248.08,252.76,246.79,251.71
2025-10-14,8,GOOG,241.76,248.02,241.18,246.19
2025-10-13,8,GOOG,241.03,244.99,240.75,244.64
2025-10-10,8,GOOG,242.16,244.84,236.68,237.49
2025-10-09,8,GOOG,245.06,245.56,239.68,242.21
2025-10-08,8,GOOG,246.20,247.26,245.09,245.46
2025-10-07,8,GOOG,248.93,251.55,246.81,247.13
2025-10-06,8,GOOG,245.78,252.20,245.69,251.51
2025-10-03,8,GOOG,245.23,247.12,242.47,246.45
2025-10-02,8,GOOG,245.64,247.64,243.10,246.43
2025-10-01,8,GOOG,241.18,247.15,239.20,245.54
2025-09-30,8,GOOG,243.06,243.68,239.57,243.55
2025-09-29,8,GOOG,248.28,251.65,243.20,244.36
2025-09-26,8,GOOG,247.78,250.12,246.64,247.18
2025-09-25,8,GOOG,244.84,247.32,241.65,246.57
2025-09-24,8,GOOG,252.15,252.96,247.22,247.83
2025-09-23,8,GOOG,253.66,254.77,251.09,252.34
2025-09-22,8,GOOG,254.78,256.31,250.81,252.88
2025-09-19,8,GOOG,253.40,256.70,252.07,255.24
2025-09-18,8,GOOG,251.86,254.14,250.11,252.33
2025-09-17,8,GOOG,251.46,251.95,246.58,249.85
2025-09-16,8,GOOG,252.33,253.23,249.72,251.42
2025-09-15,8,GOOG,245.14,252.75,244.98,251.76
2025-09-12,8,GOOG,240.80,242.42,238.50,241.38
2025-09-11,8,GOOG,240.14,242.57,236.58,240.78
2025-09-10,8,GOOG,239.25,242.08,238.11,239.56
2025-09-09,8,GOOG,234.19,240.59,233.38,239.94
2025-09-08,8,GOOG,235.79,238.40,233.73,234.16
2025-09-05,8,GOOG,232.66,236.13,232.38,235.17
2025-09-04,8,GOOG,230.16,232.77,226.76,232.66
2025-09-03,8,GOOG,226.48,231.80,225.12,231.10
